time, x, y, vx, vy
0, 0.3, 100, 2.99999, -0.00499993
0.1, 0.599997, 99.999, 2.99994, -0.0149997
0.2, 0.899988, 99.997, 2.99987, -0.0249992
0.3, 1.19997, 99.994, 2.99976, -0.0349984
0.4, 1.49994, 99.99, 2.99963, -0.0449973
0.5, 1.7999, 99.985, 2.99946, -0.0549957
0.6, 2.09983, 99.979, 2.99927, -0.0649935
0.7, 2.39975, 99.972, 2.99904, -0.0749908
0.8, 2.69964, 99.964, 2.99879, -0.0849874
0.9, 2.99951, 99.955, 2.9985, -0.0949833
1, 3.29934, 99.945, 2.99819, -0.104978
1.1, 3.59914, 99.934, 2.99784, -0.114973
1.2, 3.89891, 99.922, 2.99747, -0.124966
1.3, 4.19864, 99.909, 2.99706, -0.134958
1.4, 4.49832, 99.895, 2.99663, -0.144949
1.5, 4.79796, 99.88, 2.99616, -0.154939
1.6, 5.09755, 99.864, 2.99567, -0.164928
1.7, 5.39709, 99.847, 2.99514, -0.174916
1.8, 5.69658, 99.829, 2.99459, -0.184902
1.9, 5.99601, 99.8101, 2.994, -0.194887
2, 6.29538, 99.7901, 2.99339, -0.20487
2.1, 6.59469, 99.7691, 2.99274, -0.214852
2.2, 6.89393, 99.7471, 2.99207, -0.224832
2.3, 7.1931, 99.7241, 2.99136, -0.23481
2.4, 7.4922, 99.7001, 2.99063, -0.244787
2.5, 7.79123, 99.6752, 2.98986, -0.254762
2.6, 8.09017, 99.6492, 2.98907, -0.264734
2.7, 8.38904, 99.6222, 2.98824, -0.274705
2.8, 8.68782, 99.5942, 2.98739, -0.284674
2.9, 8.98652, 99.5653, 2.9865, -0.294641
3, 9.28512, 99.5353, 2.98559, -0.304605
3.1, 9.58364, 99.5044, 2.98465, -0.314567
3.2, 9.88205, 99.4724, 2.98367, -0.324527
3.3, 10.1804, 99.4395, 2.98267, -0.334485
3.4, 10.4786, 99.4055, 2.98163, -0.34444
3.5, 10.7767, 99.3706, 2.98057, -0.354392
3.6, 11.0747, 99.3346, 2.97947, -0.364342
3.7, 11.3726, 99.2977, 2.97835, -0.374289
3.8, 11.6704, 99.2598, 2.9772, -0.384233
3.9, 11.968, 99.2209, 2.97601, -0.394175
4, 12.2656, 99.1809, 2.9748, -0.404114
4.1, 12.563, 99.14, 2.97355, -0.414049
4.2, 12.8603, 99.0981, 2.97228, -0.423982
4.3, 13.1574, 99.0552, 2.97098, -0.433911
4.4, 13.4545, 99.0113, 2.96964, -0.443838
4.5, 13.7514, 98.9665, 2.96828, -0.453761
4.6, 14.0481, 98.9206, 2.96689, -0.463681
4.7, 14.3448, 98.8737, 2.96546, -0.473597
4.8, 14.6412, 98.8259, 2.96401, -0.48351
4.9, 14.9376, 98.777, 2.96253, -0.493419
5, 15.2337, 98.7272, 2.96101, -0.503325
5.1, 15.5298, 98.6764, 2.95947, -0.513227
5.2, 15.8256, 98.6245, 2.9579, -0.523126
5.3, 16.1213, 98.5717, 2.95629, -0.53302
5.4, 16.4169, 98.5179, 2.95466, -0.542911
5.5, 16.7123, 98.4632, 2.953, -0.552797
5.6, 17.0075, 98.4074, 2.95131, -0.56268
5.7, 17.3025, 98.3506, 2.94958, -0.572559
5.8, 17.5974, 98.2929, 2.94783, -0.582433
5.9, 17.8921, 98.2341, 2.94605, -0.592303
6, 18.1866, 98.1744, 2.94424, -0.602169
6.1, 18.4809, 98.1137, 2.94239, -0.612031
6.2, 18.7751, 98.052, 2.94052, -0.621888
6.3, 19.069, 97.9893, 2.93862, -0.63174
6.4, 19.3628, 97.9257, 2.93669, -0.641588
6.5, 19.6564, 97.861, 2.93473, -0.651431
6.6, 19.9498, 97.7954, 2.93273, -0.66127
6.7, 20.2429, 97.7287, 2.93071, -0.671103
6.8, 20.5359, 97.6611, 2.92866, -0.680932
6.9, 20.8287, 97.5926, 2.92658, -0.690756
7, 21.1212, 97.523, 2.92447, -0.700575
7.1, 21.4136, 97.4524, 2.92233, -0.710388
7.2, 21.7057, 97.3809, 2.92016, -0.720197
7.3, 21.9976, 97.3084, 2.91796, -0.73
7.4, 22.2893, 97.2349, 2.91573, -0.739798
7.5, 22.5807, 97.1604, 2.91347, -0.749591
7.6, 22.872, 97.085, 2.91118, -0.759378
7.7, 23.163, 97.0086, 2.90886, -0.769159
7.8, 23.4537, 96.9312, 2.90651, -0.778935
7.9, 23.7443, 96.8528, 2.90413, -0.788706
8, 24.0346, 96.7734, 2.90172, -0.79847
8.1, 24.3246, 96.6931, 2.89928, -0.808229
8.2, 24.6144, 96.6118, 2.89681, -0.817982
8.3, 24.904, 96.5295, 2.89431, -0.827729
8.4, 25.1933, 96.4462, 2.89178, -0.837469
8.5, 25.4823, 96.362, 2.88922, -0.847204
8.6, 25.7711, 96.2768, 2.88663, -0.856933
8.7, 26.0597, 96.1906, 2.88401, -0.866655
8.8, 26.3479, 96.1035, 2.88137, -0.876371
8.9, 26.6359, 96.0153, 2.87869, -0.88608
9, 26.9237, 95.9262, 2.87598, -0.895783
9.1, 27.2111, 95.8362, 2.87324, -0.90548
9.2, 27.4983, 95.7452, 2.87048, -0.91517
9.3, 27.7852, 95.6532, 2.86768, -0.924853
9.4, 28.0718, 95.5602, 2.86485, -0.934529
9.5, 28.3582, 95.4662, 2.862, -0.944199
9.6, 28.6442, 95.3713, 2.85911, -0.953861
9.7, 28.93, 95.2755, 2.85619, -0.963517
9.8, 29.2155, 95.1786, 2.85325, -0.973166
9.9, 29.5007, 95.0808, 2.85027, -0.982807
10, 29.7855, 94.9821, 2.84727, -0.992441
10.1, 30.0701, 94.8824, 2.84423, -1.00207
10.2, 30.3544, 94.7817, 2.84117, -1.01169
10.3, 30.6384, 94.68, 2.83807, -1.0213
10.4, 30.922, 94.5774, 2.83495, -1.0309
10.5, 31.2053, 94.4738, 2.83179, -1.0405
10.6, 31.4884, 94.3693, 2.82861, -1.05009
10.7, 31.7711, 94.2638, 2.8254, -1.05967
10.8, 32.0534, 94.1574, 2.82215, -1.06925
10.9, 32.3355, 94.05, 2.81888, -1.07881
11, 32.6172, 93.9416, 2.81558, -1.08837
11.1, 32.8986, 93.8323, 2.81225, -1.09792
11.2, 33.1797, 93.722, 2.80888, -1.10746
11.3, 33.4604, 93.6108, 2.80549, -1.117
11.4, 33.7408, 93.4986, 2.80207, -1.12652
11.5, 34.0208, 93.3855, 2.79862, -1.13604
11.6, 34.3005, 93.2714, 2.79514, -1.14555
11.7, 34.5798, 93.1564, 2.79163, -1.15505
11.8, 34.8588, 93.0404, 2.78809, -1.16454
11.9, 35.1374, 92.9235, 2.78452, -1.17402
12, 35.4157, 92.8056, 2.78092, -1.1835
12.1, 35.6936, 92.6868, 2.77729, -1.19296
12.2, 35.9712, 92.567, 2.77363, -1.20242
12.3, 36.2484, 92.4463, 2.76995, -1.21187
12.4, 36.5252, 92.3246, 2.76623, -1.2213
12.5, 36.8016, 92.202, 2.76248, -1.23073
12.6, 37.0777, 92.0785, 2.7587, -1.24015
12.7, 37.3533, 91.954, 2.7549, -1.24957
12.8, 37.6286, 91.8286, 2.75106, -1.25897
12.9, 37.9036, 91.7022, 2.7472, -1.26836
13, 38.1781, 91.5749, 2.7433, -1.27774
13.1, 38.4522, 91.4467, 2.73938, -1.28712
